NAME,LAT,LON,PHONE,ADDRESS,AREA,URL,field_8,field_9
Hilton Garden Inn,36.1006606,-75.7117689,,5353 N Virginia Dare Trail,Kitty Hawk,https://www.hilton.com/en/hotels/orfkhgi-hilton-garden-inn-outer-banks-kitty-hawk/?SEO_id=GMB-GI-ORFKHGI,,
Holiday Inn Express,35.944936,-75.616745,,4701 S Virginia Dare Trail,Nags Head,https://www.ihg.com/holidayinnexpress/hotels/us/en/nags-head/nghob/hoteldetail?cm_mmc=YextLocal-_-EX-_-US-_-NGHOB,,
Holiday Inn Express,36.068315,-75.693187,,3915 N Croatan Hwy,Kitty Hawk,https://www.ihg.com/holidayinnexpress/hotels/us/en/kitty-hawk/ecgkh/hoteldetail,,
Pony Island Inn,35.109851,-75.976935,, 785 Irvin Garrish Hwy,Ocracoke,https://ponyislandinn.com,,
The First Colony Inn,35.918821,-75.603355,,6715 S Croatan Hwy,Nags Head,https://www.firstcolonyinn.com,,
Quality Inn,36.017269,-75.658195,,401 N Virginia Dare Trail,Kill Devil Hills,https://www.choicehotels.com/north-carolina/kill-devil-hills/quality-inn-hotels/nc130?mc=llgoxxpx,,
Comfort Inn On The Ocean,36.000237,-75.647994,,1601 S Virginia Dare Trail,Kill Devil Hills,https://www.choicehotels.com/north-carolina/kill-devil-hills/comfort-inn-hotels/nc416?mc=llgoxxpx,,
Comfort Inn South Oceanfront,35.906442,-75.594534,,8031 S Old Oregon Inlet Rd,Nags Head,https://www.choicehotels.com/north-carolina/nags-head/comfort-inn-hotels/nc236?mc=llgoxxpx&adults=2&checkInDate=2024-02-14&checkOutDate=2024-02-15,,
TownePlace Suites by Marriott,35.994869,-75.647432,,2028 S Virginia Dare Trail,Kill Devil Hills,https://www.marriott.com/en-us/hotels/ffats-towneplace-suites-outer-banks-kill-devil-hills/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,,
The Sea Ranch Resort,36.034402,-75.668575,,1731 N Virginia Dare Trail,Kill Devil Hills,https://www.searanchresort.com,,
Hatteras Island Inn,35.264998,-75.521156,,46745 North Carolina Hwy 12,Buxton,https://www.hatterasislandinn.com,,
Surf Side Hotel,35.91983,-75.60217,,6701 S Virginia Dare Trail,https://www.surfsideobx.com,,
Hampton Inn,36.25913,-75.78586,,333 Audubon Dr,Corolla,https://www.hilton.com/en/hotels/obxnchx-hampton-suites-outer-banks-corolla/?SEO_id=GMB-AMER-HX-OBXNCHX&y_source=1_MjA4MzczMy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,
Ramada Plaza by Wyndham,35.99942,-75.64769,,1701 S Virginia Dare Trail,Nags Head,https://www.wyndhamhotels.com/ramada/kill-devil-hills-north-carolina/ramada-plaza-nags-head-beach/overview?CID=LC:wmcic5n98gs1g0r:00604&iata=00093796,,
Shutters On the Banks,36.01269,-75.65565,,405 S Virginia Dare Trail,Kill Devil Hills,https://shuttersonthebanks.com,,
Ocean Reef Suites,36.01463,-75.65657,,107 S Virginia Dare Trail, Kill Devil Hills,https://www.oceanreefouterbanks.com..
John Yancey Oceanfront Inn,35.99654-75.64602,,2009 S Virginia Dare Trail,Kill Devil Hills,https://www.johnyanceyinn.com,,
Sanderling Resort,36.22351,-75.77039,1461 Duck Rd,Duckhttps://www.sanderling-resort.com,,
